DR_NO,Date Rptd,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Race,Premis Desc,Weapon Desc,LAT,LON
200506394,2/26/2020,Harbor,310,BURGLARY,59,F,B,Black,SINGLE FAMILY DWELLING,,33.81,-118.302
200308154,3/6/2020,Southwest,624,BATTERY - SIMPLE ASSAULT,34,F,H,Hispanic,ALLEY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0163,-118.3507
210711115,7/16/2021,Wilshire,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),68,F,W,White,RESTAURANT/FAST FOOD,,34.073,-118.3236
211010638,7/27/2021,West Valley,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),37,M,A,Asian,STREET,,34.167,-118.522
211105917,2/26/2021,Northeast,440,THEFT PLAIN - PETTY ($950 & UNDER),44,F,H,Hispanic,OTHER STORE,,34.0909,-118.2917
200107390,2/18/2020,Central,624,BATTERY - SIMPLE ASSAULT,65,M,W,White,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0446,-118.249
211810641,5/18/2021,Southeast,310,BURGLARY,38,F,B,Black,SINGLE FAMILY DWELLING,,33.9265,-118.287
210106158,2/16/2021,Central,210,ROBBERY,61,M,H,Hispanic,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",HAND GUN,34.0591,-118.2412
211610897,8/26/2021,Foothill,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",26,M,H,Hispanic,"VEHICLE, PASSENGER/TRUCK",,34.2566,-118.4315
210810338,6/11/2021,West LA,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",88,M,W,White,SINGLE FAMILY DWELLING,,34.0483,-118.4696
200405144,1/30/2020,Hollenbeck,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",39,M,W,White,STREET,,34.0803,-118.1744
200100866,6/30/2020,Central,946,OTHER MISCELLANEOUS CRIME,44,M,H,Hispanic,OTHER STORE,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0561,-118.2375
171326218,8/28/2017,Newton,815,SEXUAL PENETRATION W/FOREIGN OBJECT,8,M,H,Hispanic,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0146,-118.2565
212112347,8/8/2021,Topanga,310,BURGLARY,38,M,W,White,GARAGE/CARPORT,,34.1907,-118.5753
210106268,2/18/2021,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",30,M,H,Hispanic,"VEHICLE, PASSENGER/TRUCK",,34.0519,-118.2531
211813831,7/19/2021,Southeast,330,BURGLARY FROM VEHICLE,64,M,H,Hispanic,STREET,,33.9248,-118.2826
212011302,7/7/2021,Olympic,310,BURGLARY,24,F,A,Asian,SINGLE FAMILY DWELLING,,34.0801,-118.317
211709270,5/7/2021,Devonshire,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",72,F,C,Asian,PARKING LOT,,34.2661,-118.5234
200106166,1/31/2020,Central,210,ROBBERY,49,M,H,Hispanic,STREET,UNKNOWN WEAPON/OTHER WEAPON,34.0423,-118.2452
200205819,2/6/2020,Rampart,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),52,F,H,Hispanic,STREET,,34.0777,-118.2868
150617017,7/17/2015,Hollywood,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),5,F,H,Hispanic,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0926,-118.319
212112241,8/6/2021,Topanga,624,BATTERY - SIMPLE ASSAULT,19,M,H,Hispanic,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.2039,-118.651
211217316,8/7/2021,77th Street,903,CONTEMPT OF COURT,20,M,H,Hispanic,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,33.9746,-118.2937
210814709,10/1/2021,West LA,440,THEFT PLAIN - PETTY ($950 & UNDER),38,F,W,White,OTHER BUSINESS,,34.0642,-118.4697
200306458,2/10/2020,Southwest,220,ATTEMPTED ROBBERY,18,F,B,Black,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0238,-118.3669
211009347,6/23/2021,West Valley,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,M,W,White,STREET,,34.1692,-118.5055
200107697,2/23/2020,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",43,M,H,Hispanic,"VEHICLE, PASSENGER/TRUCK",,34.0591,-118.2412
211418302,9/13/2021,Pacific,440,THEFT PLAIN - PETTY ($950 & UNDER),19,M,B,Black,RESTAURANT/FAST FOOD,,33.9873,-118.473
211411148,5/7/2021,Pacific,330,BURGLARY FROM VEHICLE,68,M,W,White,PARKING LOT,,33.9606,-118.42
211109405,6/9/2021,Northeast,480,BIKE - STOLEN,43,F,W,White,DRIVEWAY,,34.0964,-118.2731
212105948,2/25/2021,Topanga,330,BURGLARY FROM VEHICLE,43,M,W,White,STREET,,34.1635,-118.6082
200314638,7/23/2020,Southwest,901,VIOLATION OF RESTRAINING ORDER,52,F,W,White,STREET,,34.0322,-118.3041
200108002,2/28/2020,Central,624,BATTERY - SIMPLE ASSAULT,51,F,B,Black,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0417,-118.2443
211906741,3/19/2021,Mission,330,BURGLARY FROM VEHICLE,27,M,W,White,SINGLE FAMILY DWELLING,,34.212,-118.4364
210406231,3/2/2021,Hollenbeck,210,ROBBERY,49,M,H,Hispanic,"VEHICLE, PASSENGER/TRUCK",KITCHEN KNIFE,34.0529,-118.2222
