DR_NO,Date Rptd,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Race,Premis Desc,Weapon Desc,LAT,LON
200204818,1/16/2020,Rampart,624,BATTERY - SIMPLE ASSAULT,76,M,H,Hispanic,NURSING/CONVALESCENT/RETIREMENT HOME,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0585,-118.2725
210806415,3/1/2021,West LA,310,BURGLARY,47,F,B,Black,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,34.0407,-118.3791
200108278,3/2/2020,Central,624,BATTERY - SIMPLE ASSAULT,44,F,W,White,SIDEWALK,UNKNOWN WEAPON/OTHER WEAPON,34.0458,-118.243
211415370,7/20/2021,Pacific,440,THEFT PLAIN - PETTY ($950 & UNDER),32,F,W,White,OTHER PREMISE,,33.9953,-118.4729
200305852,1/31/2020,Southwest,624,BATTERY - SIMPLE ASSAULT,26,F,B,Black,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0149,-118.3436
211310456,5/29/2021,Newton,624,BATTERY - SIMPLE ASSAULT,38,M,H,Hispanic,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0048,-118.2581
200200584,2/17/2020,Rampart,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",39,M,H,Hispanic,MINI-MART,CLUB/BAT,34.0667,-118.2703
210910782,6/22/2021,Van Nuys,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),21,M,H,Hispanic,PARKING LOT,,34.1907,-118.4479
200104682,1/9/2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),32,M,W,White,HIGH-RISE BUILDING,,34.0511,-118.2608
212104328,1/11/2021,Topanga,354,THEFT OF IDENTITY,60,F,W,White,OTHER BUSINESS,,34.1696,-118.6059
210508088,4/17/2021,Harbor,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",59,F,W,White,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,33.7347,-118.2842
211209573,4/1/2021,77th Street,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",38,M,H,Hispanic,STREET,UNKNOWN WEAPON/OTHER WEAPON,33.96,-118.309
211114114,10/13/2021,Northeast,624,BATTERY - SIMPLE ASSAULT,74,F,H,Hispanic,OTHER BUSINESS,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0959,-118.2073
210904791,1/23/2021,Van Nuys,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),46,F,W,White,STREET,,34.1504,-118.4366
200505387,2/3/2020,Harbor,624,BATTERY - SIMPLE ASSAULT,51,F,H,Hispanic,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.7751,-118.2725
200505038,1/25/2020,Harbor,310,BURGLARY,41,M,H,Hispanic,PUBLIC STORAGE,,33.7904,-118.2777
211511799,7/13/2021,N Hollywood,310,BURGLARY,49,F,W,White,PUBLIC STORAGE,,34.1397,-118.3818
200404984,1/24/2020,Hollenbeck,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,28,F,H,Hispanic,OTHER BUSINESS,VERBAL THREAT,34.0757,-118.1711
211011108,8/9/2021,West Valley,320,"BURGLARY, ATTEMPTED",84,F,W,White,SINGLE FAMILY DWELLING,,34.189,-118.4982
200116495,8/16/2020,Central,220,ATTEMPTED ROBBERY,41,M,H,Hispanic,7TH AND METRO CENTER (NOT LINE SPECIFIC),"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0496,-118.258
211606421,3/25/2021,Foothill,440,THEFT PLAIN - PETTY ($950 & UNDER),30,M,H,Hispanic,SINGLE FAMILY DWELLING,,34.2648,-118.4311
211317152,10/9/2021,Newton,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",48,M,H,Hispanic,STREET,CLUB/BAT,33.9942,-118.2783
210208431,4/21/2021,Rampart,860,BATTERY WITH SEXUAL CONTACT,30,F,H,Hispanic,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.079,-118.294
200304478,1/8/2020,Southwest,624,BATTERY - SIMPLE ASSAULT,25,M,H,Hispanic,RESTAURANT/FAST FOOD,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0146,-118.2872
200119800,10/21/2020,Central,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),36,F,W,White,PARKING LOT,,34.0389,-118.255
210605263,2/1/2021,Hollywood,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",42,M,W,White,STREET,UNKNOWN WEAPON/OTHER WEAPON,34.1007,-118.3494
200108451,3/4/2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),20,F,H,Hispanic,RESTAURANT/FAST FOOD,,34.0467,-118.2556
211609346,7/5/2021,Foothill,624,BATTERY - SIMPLE ASSAULT,20,M,H,Hispanic,DRIVEWAY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.2769,-118.3802
210107774,3/21/2021,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",33,M,B,Black,"VEHICLE, PASSENGER/TRUCK",,34.0615,-118.247
211900709,7/21/2021,Mission,626,INTIMATE PARTNER - SIMPLE ASSAULT,31,M,H,Hispanic,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.2536,-118.4697
211509814,5/27/2021,N Hollywood,761,BRANDISH WEAPON,57,M,H,Hispanic,SIDEWALK,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,34.194,-118.4053
211809034,4/14/2021,Southeast,210,ROBBERY,44,F,H,Hispanic,STREET,SEMI-AUTOMATIC PISTOL,33.9367,-118.2871
200304285,1/6/2020,Southwest,310,BURGLARY,86,F,B,Black,SINGLE FAMILY DWELLING,,34.0203,-118.3692
200207407,3/6/2020,Rampart,664,"BUNCO, PETTY THEFT",36,F,K,Asian,SINGLE FAMILY DWELLING,,34.0529,-118.2819
200108185,3/1/2020,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,29,M,H,Hispanic,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0462,-118.2585
171919906,10/9/2017,Mission,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),7,F,H,Hispanic,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.2557,-118.439
210313359,7/22/2021,Southwest,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",50,F,B,Black,SIDEWALK,FOLDING KNIFE,34.0278,-118.3378
200106590,2/6/2020,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,42,M,H,Hispanic,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",STICK,34.0437,-118.2455
200114119,6/29/2020,Central,330,BURGLARY FROM VEHICLE,41,F,A,Asian,STREET,,34.043,-118.2641
210905587,2/9/2021,Van Nuys,626,INTIMATE PARTNER - SIMPLE ASSAULT,25,F,W,White,RESTAURANT/FAST FOOD,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.1513,-118.4511
211410936,4/29/2021,Pacific,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),61,M,W,White,SIDEWALK,,33.9431,-118.4011
211207237,2/20/2021,77th Street,440,THEFT PLAIN - PETTY ($950 & UNDER),51,M,B,Black,SINGLE FAMILY DWELLING,,33.9867,-118.3024
210411830,8/16/2021,Hollenbeck,354,THEFT OF IDENTITY,47,M,H,Hispanic,AUTOMATED TELLER MACHINE (ATM),,34.037,-118.2127
211805114,1/22/2021,Southeast,626,INTIMATE PARTNER - SIMPLE ASSAULT,35,M,H,Hispanic,"VEHICLE, PASSENGER/TRUCK","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.9456,-118.2652
212008551,4/26/2021,Olympic,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",48,F,H,Hispanic,"VEHICLE, PASSENGER/TRUCK",,34.0728,-118.2844
200204188,1/5/2020,Rampart,330,BURGLARY FROM VEHICLE,37,M,H,Hispanic,STREET,UNKNOWN TYPE CUTTING INSTRUMENT,34.0668,-118.2622
211308280,4/8/2021,Newton,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0,M,B,Black,SINGLE FAMILY DWELLING,UNKNOWN WEAPON/OTHER WEAPON,34.0223,-118.2533
200306146,2/5/2020,Southwest,480,BIKE - STOLEN,34,M,A,Asian,PARKING LOT,,34.0268,-118.2808
211805369,1/27/2021,Southeast,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",32,M,H,Hispanic,OTHER RESIDENCE,,33.932,-118.2832
211212418,5/19/2021,77th Street,624,BATTERY - SIMPLE ASSAULT,50,F,B,Black,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.9762,-118.3046
200309342,3/31/2020,Southwest,626,INTIMATE PARTNER - SIMPLE ASSAULT,22,F,B,Black,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0146,-118.313
211307827,3/28/2021,Newton,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",50,M,H,Hispanic,"VEHICLE, PASSENGER/TRUCK",,34.0038,-118.274
212013132,8/14/2021,Olympic,940,EXTORTION,17,M,H,Hispanic,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,34.0709,-118.2985
211610661,8/18/2021,Foothill,626,INTIMATE PARTNER - SIMPLE ASSAULT,25,M,H,Hispanic,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.2129,-118.3564
211409935,4/8/2021,Pacific,440,THEFT PLAIN - PETTY ($950 & UNDER),47,M,W,White,ELEVATOR,,33.9747,-118.4287
200304852,1/15/2020,Southwest,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",24,F,B,Black,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0278,-118.2783
200217592,11/18/2020,Rampart,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,31,M,H,Hispanic,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",VERBAL THREAT,34.0543,-118.2782
211513514,8/23/2021,N Hollywood,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",46,M,W,White,SINGLE FAMILY DWELLING,ROCK/THROWN OBJECT,34.1922,-118.3823
212110127,6/14/2021,Topanga,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),39,F,H,Hispanic,SINGLE FAMILY DWELLING,,34.2012,-118.5645
211806395,2/18/2021,Southeast,624,BATTERY - SIMPLE ASSAULT,34,F,B,Black,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.9546,-118.2782
211904075,1/2/2021,Mission,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",46,F,H,Hispanic,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.2263,-118.4476
211214745,6/28/2021,77th Street,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,52,M,B,Black,SINGLE FAMILY DWELLING,,33.9795,-118.2838
210515265,10/25/2021,Harbor,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",37,F,H,Hispanic,"VEHICLE, PASSENGER/TRUCK",,33.7824,-118.2719
211609074,6/27/2021,Foothill,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,M,W,White,BEAUTY SUPPLY STORE,,34.2217,-118.3965
200505808,2/12/2020,Harbor,310,BURGLARY,53,F,W,White,SINGLE FAMILY DWELLING,,33.7444,-118.316
200406406,3/2/2020,Hollenbeck,624,BATTERY - SIMPLE ASSAULT,48,F,H,Hispanic,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0431,-118.2038
212113145,8/27/2021,Topanga,662,"BUNCO, GRAND THEFT",33,F,H,Hispanic,GAS STATION,,34.167,-118.5928
200306462,2/10/2020,Southwest,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",35,F,W,White,OTHER PREMISE,,34.0268,-118.2808
210505590,2/9/2021,Harbor,330,BURGLARY FROM VEHICLE,22,F,H,Hispanic,STREET,,33.7244,-118.322
210314252,8/11/2021,Southwest,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,49,F,B,Black,SIDEWALK,VERBAL THREAT,34.017,-118.3477
212014463,9/17/2021,Olympic,624,BATTERY - SIMPLE ASSAULT,31,M,H,Hispanic,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0401,-118.2852
171108749,4/9/2017,Northeast,820,ORAL COPULATION,8,M,B,Black,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0832,-118.2574
211607295,4/27/2021,Foothill,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",25,F,B,Black,DRIVEWAY,CLUB/BAT,34.278,-118.4203
211914245,10/6/2021,Mission,440,THEFT PLAIN - PETTY ($950 & UNDER),14,M,H,Hispanic,HIGH SCHOOL,,34.2722,-118.4417
200304051,1/1/2020,Southwest,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),41,M,H,Hispanic,"VEHICLE, PASSENGER/TRUCK",,34.0332,-118.2759
200507912,4/3/2020,Harbor,440,THEFT PLAIN - PETTY ($950 & UNDER),57,M,W,White,SINGLE FAMILY DWELLING,,33.8268,-118.3064
211106171,3/5/2021,Northeast,440,THEFT PLAIN - PETTY ($950 & UNDER),23,F,H,Hispanic,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,34.1211,-118.2223
212106297,3/7/2021,Topanga,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",50,M,W,White,CLEANER/LAUNDROMAT,,34.1685,-118.6038
200408153,4/24/2020,Hollenbeck,330,BURGLARY FROM VEHICLE,31,F,H,Hispanic,STREET,,34.0308,-118.2055
200206744,2/24/2020,Rampart,940,EXTORTION,24,M,W,White,SINGLE FAMILY DWELLING,,34.0572,-118.2576
200113399,6/14/2020,Central,210,ROBBERY,60,M,W,White,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0407,-118.2468
200310014,4/17/2020,Southwest,330,BURGLARY FROM VEHICLE,30,F,B,Black,STREET,,34.0238,-118.3423
210807510,3/29/2021,West LA,888,TRESPASSING,56,M,W,White,SINGLE FAMILY DWELLING,,34.0515,-118.3762
210805735,2/13/2021,West LA,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",37,F,H,Hispanic,"VEHICLE, PASSENGER/TRUCK",,34.0312,-118.3852
212112496,8/12/2021,Topanga,210,ROBBERY,27,M,B,Black,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",UNKNOWN WEAPON/OTHER WEAPON,34.1772,-118.6002
200505046,1/25/2020,Harbor,440,THEFT PLAIN - PETTY ($950 & UNDER),21,F,B,Black,PHARMACY INSIDE STORE OR SUPERMARKET*,,33.818,-118.3089
190912111,6/10/2019,Van Nuys,121,"RAPE, FORCIBLE",28,F,W,White,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.1548,-118.4499
200204491,1/10/2020,Rampart,330,BURGLARY FROM VEHICLE,39,M,W,White,PARKING LOT,,34.0812,-118.2953
200305514,1/26/2020,Southwest,626,INTIMATE PARTNER - SIMPLE ASSAULT,28,F,B,Black,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0346,-118.3353
210507750,4/8/2021,Harbor,624,BATTERY - SIMPLE ASSAULT,45,F,B,Black,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.7801,-118.3004
200205876,2/7/2020,Rampart,121,"RAPE, FORCIBLE",42,F,H,Hispanic,"VEHICLE, PASSENGER/TRUCK","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0538,-118.2667
211709879,6/22/2021,Devonshire,901,VIOLATION OF RESTRAINING ORDER,71,M,H,Hispanic,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,,34.25,-118.5813
200505428,2/3/2020,Harbor,440,THEFT PLAIN - PETTY ($950 & UNDER),15,M,H,Hispanic,HIGH SCHOOL,,33.7306,-118.299
210909415,5/18/2021,Van Nuys,624,BATTERY - SIMPLE ASSAULT,35,M,H,Hispanic,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.1846,-118.4488
200105139,1/16/2020,Central,902,VIOLATION OF TEMPORARY RESTRAINING ORDER,65,F,H,Hispanic,OTHER RESIDENCE,,34.0615,-118.2412
200205529,1/16/2020,Rampart,330,BURGLARY FROM VEHICLE,31,M,W,White,STREET,,34.0456,-118.2789
200107583,2/21/2020,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0,M,W,White,OFFICE BUILDING/OFFICE,VERBAL THREAT,34.0488,-118.25
211205783,1/27/2021,77th Street,626,INTIMATE PARTNER - SIMPLE ASSAULT,49,F,B,Black,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.9942,-118.2827
211410084,4/20/2021,Pacific,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),59,F,W,White,STREET,,34.0101,-118.4406
210114590,8/3/2021,Central,625,OTHER ASSAULT,56,F,W,White,SINGLE FAMILY DWELLING,UNKNOWN WEAPON/OTHER WEAPON,34.0348,-118.2577
211713519,10/7/2021,Devonshire,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",28,M,W,White,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,34.2432,-118.5232
210311693,6/15/2021,Southwest,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",20,F,B,Black,STREET,HAND GUN,34.0329,-118.3613
212106308,3/8/2021,Topanga,624,BATTERY - SIMPLE ASSAULT,37,F,W,White,HOSPITAL,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.2035,-118.6294
211409883,4/17/2021,Pacific,626,INTIMATE PARTNER - SIMPLE ASSAULT,44,F,B,Black,HOTEL,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.9491,-118.3859
171015844,9/6/2017,West Valley,354,THEFT OF IDENTITY,52,M,W,White,SINGLE FAMILY DWELLING,,34.206,-118.5163
201206683,2/7/2020,77th Street,354,THEFT OF IDENTITY,59,F,H,Hispanic,SINGLE FAMILY DWELLING,,33.9851,-118.2841
211221073,10/7/2021,77th Street,310,BURGLARY,74,F,B,Black,SINGLE FAMILY DWELLING,,33.9609,-118.3047
211515295,9/29/2021,N Hollywood,330,BURGLARY FROM VEHICLE,34,M,H,Hispanic,DRIVEWAY,,34.2048,-118.3638
210500501,1/1/2021,Harbor,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,3,M,B,Black,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.7733,-118.2776
211513477,8/21/2021,N Hollywood,850,INDECENT EXPOSURE,64,F,H,Hispanic,HOTEL,,34.1387,-118.3578
170916815,9/12/2017,Van Nuys,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),6,F,H,Hispanic,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.1813,-118.4377
200107763,2/24/2020,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,24,M,H,Hispanic,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0354,-118.264
211708680,5/21/2021,Devonshire,626,INTIMATE PARTNER - SIMPLE ASSAULT,26,M,W,White,BUS-CHARTER/PRIVATE,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.2319,-118.5374
211913509,9/20/2021,Mission,354,THEFT OF IDENTITY,28,M,H,Hispanic,SINGLE FAMILY DWELLING,,34.3088,-118.4353
200100935,8/4/2020,Central,648,ARSON,58,M,B,Black,OTHER PREMISE,UNKNOWN WEAPON/OTHER WEAPON,34.0438,-118.2416
211222372,10/28/2021,77th Street,350,"THEFT, PERSON",63,F,H,Hispanic,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.9863,-118.2881
210711303,7/26/2021,Wilshire,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),42,F,W,White,GARAGE/CARPORT,,34.0636,-118.3451
200308077,3/6/2020,Southwest,626,INTIMATE PARTNER - SIMPLE ASSAULT,32,F,H,Hispanic,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0155,-118.3002
211609501,7/10/2021,Foothill,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,61,F,H,Hispanic,SINGLE FAMILY DWELLING,VERBAL THREAT,34.2717,-118.3049
211214124,6/17/2021,77th Street,220,ATTEMPTED ROBBERY,69,F,H,Hispanic,STREET,HAND GUN,33.9654,-118.2739
200206291,2/15/2020,Rampart,121,"RAPE, FORCIBLE",21,F,W,White,HOTEL,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0515,-118.2658
200107751,2/24/2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),29,M,B,Black,SIDEWALK,,34.0437,-118.2455
211906089,2/27/2021,Mission,210,ROBBERY,30,F,W,White,BEAUTY SUPPLY STORE,SIMULATED GUN,34.3087,-118.4319
210604863,1/20/2021,Hollywood,440,THEFT PLAIN - PETTY ($950 & UNDER),33,F,B,Black,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,34.0944,-118.3299
200105922,1/28/2020,Central,330,BURGLARY FROM VEHICLE,21,F,H,Hispanic,STREET,,34.0473,-118.2425
200207191,3/3/2020,Rampart,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",29,M,H,Hispanic,STREET,,34.047,-118.2799
200207348,3/2/2020,Rampart,901,VIOLATION OF RESTRAINING ORDER,28,F,H,Hispanic,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,34.0584,-118.2824
211819162,10/27/2021,Southeast,626,INTIMATE PARTNER - SIMPLE ASSAULT,66,F,B,Black,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.9455,-118.2851
200206692,2/23/2020,Rampart,901,VIOLATION OF RESTRAINING ORDER,43,F,H,Hispanic,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,34.044,-118.28
200307099,2/19/2020,Southwest,626,INTIMATE PARTNER - SIMPLE ASSAULT,40,F,H,Hispanic,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0363,-118.3078
180416662,10/30/2018,Hollenbeck,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),4,F,H,Hispanic,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0571,-118.1946
210406473,3/9/2021,Hollenbeck,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,M,W,White,STREET,,34.048,-118.2181
211011557,8/23/2021,West Valley,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,M,W,White,MINI-MART,,34.1866,-118.5368
210312051,6/23/2021,Southwest,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",32,F,H,Hispanic,"VEHICLE, PASSENGER/TRUCK",,34.0159,-118.3536
200305779,1/30/2020,Southwest,310,BURGLARY,69,F,B,Black,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",UNKNOWN WEAPON/OTHER WEAPON,34.0163,-118.3536
211216584,7/27/2021,77th Street,354,THEFT OF IDENTITY,44,F,B,Black,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,33.9661,-118.2849
211607455,4/29/2021,Foothill,354,THEFT OF IDENTITY,62,F,H,Hispanic,SINGLE FAMILY DWELLING,,34.2111,-118.346
210406798,3/18/2021,Hollenbeck,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,M,W,White,RESTAURANT/FAST FOOD,,34.053,-118.2039
211309294,5/5/2021,Newton,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",20,M,H,Hispanic,BUS STOP,UNKNOWN TYPE CUTTING INSTRUMENT,34.0164,-118.2502
210113953,7/23/2021,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,24,M,H,Hispanic,OTHER BUSINESS,VERBAL THREAT,34.0488,-118.25
200505867,2/13/2020,Harbor,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),24,F,W,White,PARKING LOT,,33.7562,-118.3065
210113888,7/22/2021,Central,624,BATTERY - SIMPLE ASSAULT,26,M,B,Black,MEDICAL/DENTAL OFFICES,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0438,-118.2441
200310686,4/30/2020,Southwest,888,TRESPASSING,48,M,B,Black,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,34.0064,-118.29
200305969,2/3/2020,Southwest,330,BURGLARY FROM VEHICLE,21,F,H,Hispanic,PARKING LOT,,34.0282,-118.276
200310130,4/19/2020,Southwest,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),73,F,B,Black,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,34.0116,-118.3412
200108748,3/8/2020,Central,624,BATTERY - SIMPLE ASSAULT,59,F,H,Hispanic,MISSIONS/SHELTERS,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0458,-118.243
210107613,3/18/2021,Central,623,BATTERY POLICE (SIMPLE),0,F,W,White,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.036,-118.268
200207086,2/29/2020,Rampart,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",50,M,H,Hispanic,STREET,MACE/PEPPER SPRAY,34.0511,-118.2737
200207114,3/1/2020,Rampart,900,VIOLATION OF COURT ORDER,22,F,H,Hispanic,PARKING LOT,,34.0806,-118.2843
211216878,7/31/2021,77th Street,624,BATTERY - SIMPLE ASSAULT,22,F,H,Hispanic,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.9748,-118.3352
210807198,3/19/2021,West LA,900,VIOLATION OF COURT ORDER,35,M,W,White,APARTMENT/CONDO COMMON LAUNDRY ROOM,,34.0472,-118.4655
211409577,4/12/2021,Pacific,440,THEFT PLAIN - PETTY ($950 & UNDER),49,F,H,Hispanic,TRANSPORTATION FACILITY (AIRPORT),,33.9452,-118.4033
